category,tag,words
general,fat,"['gyatt', 'mew']"
both,costume,"['delulu', 'serving', 'john pork', 'skibidi']"
general,creepy,"['john pork', 'rizz']"
general,hawktuah,"['john pork', 'skibidi']"
general,fein,"['john pork', 'jonkler', 'tiktok rizz party']"
general,youngsheldon,"['jonkler', 'sigma']"
general,mewingtutorial,"['mew', 'mewing']"
general,boys,"['mew', 'mewing']"
general,greenscreensticker,"['mew', 'mewing']"
general,haskell_1x,"['mew', 'mewing']"
general,haskellramirez,"['mew', 'mewing']"
general,mewwing,"['mew', 'mewing']"
general,snowman,"['mew', 'mewing']"
general,kids,"['mew', 'skibidi']"
general,jaw,"['mew', 'mewing']"
general,shush,"['mew', 'mewing']"
general,byebye,"['mew', 'mewing', 'mog']"
general,monstersinc,"['mew', 'mewing']"
general,boo,"['mew', 'mewing']"
general,2023,"['mew', 'mewing', 'mog']"
general,winter2023,"['mew', 'mewing', 'mog']"
general,chicoedit,"['mew', 'mewing', 'mog']"
general,chicolachowskiedit,"['mew', 'mewing', 'mog']"
general,genalpha,"['mew', 'mewing', 'sigma', 'skibidi']"
both,slang,"['coded', 'onika burgers', 'slay', 'mewing', 'sigma', 'skibidi']"
general,genz,"['mewing', 'sigma', 'skibidi']"
general,middleschoolslang,"['mewing', 'sigma', 'skibidi']"
general,teach,"['mewing', 'skibidi']"
general,teachersoftiktok,"['mewing', 'sigma', 'skibidi']"
general,face,"['mewing', 'sigma']"
general,edits,"['sigma', 'skibidi']"
female,besties,"['ate', 'flop', 'yap']"
female,outfit,"['ate', 'body tea', 'pookie', 'snatched']"
female,bff,"['ate', 'pookie']"
female,bestfriend,"['ate', 'yap', 'serving']"
female,transition,"['ate', 'pookie', 'diva', 'snatched']"
female,flop,"['ate', 'flop', 'onika burgers']"
female,slay,"['ate', 'flop', 'girl dinner', 'onika burgers', 'slay', 'queening', 'serving']"
both,cosplay,"['slay', 'chronically online', 'diva', 'skill issue', 'freakbob']"
female,floptok,"['ate', 'era', 'flop', 'onika burgers']"
female,mukbang,"['ate', 'eating']"
female,eating,"['ate', 'flop', 'eating']"
female,sheate,"['ate', 'onika burgers']"
female,trendingvideo,"['ate', 'beige flag', 'diva']"
female,dontletthisflop,"['ate', 'onika burgers', 'chronically online']"
female,parati,"['ate', 'beige flag', 'brat', 'giving', 'pookie', 'queen', 'snatched']"
female,iconic,"['ate', 'queen', 'slay']"
female,pretty,"['ate', 'era', 'face card']"
female,xyzcba,"['bedrotting', 'flop']"
female,#1,"['bedrotting', 'pookie']"
female,tiktoktrend,"['bedrotting', 'brat']"
female,selflove,"['bedrotting', 'queening']"
female,college,"['bedrotting', 'situationship', 'eating']"
female,student,"['bedrotting', 'coded']"
female,vent,"['bedrotting', 'chronically online']"
female,depression,"['bedrotting', 'situationship']"
female,wlw,"['bedrotting', 'face card']"
female,🎀,"['bedrotting', 'body tea']"
female,momsoftiktok,"['bedrotting', 'girl dinner']"
female,shitpost,"['bedrotting', 'flop']"
female,grwm,"['bedrotting', 'face card', 'snatched']"
female,makeup,"['bedrotting', 'face card', 'giving']"
female,rotting,"['bedrotting', 'chronically online']"
female,husbands,"['beige flag', 'roman empire']"
female,relationship,"['beige flag', 'situationship', 'chronically online', 'queening']"
female,couple,"['beige flag', 'pookie', 'delulu', 'eating']"
female,paratipage,"['beige flag', 'pookie']"
female,floptok😍😍😭😌🤞💅💅,"['body tea', 'flop', 'slay']"
female,body,"['body tea', 'snatched']"
female,สโลว์สมูท,"['body tea', 'face card']"
female,dresstoimpress,"['body tea', 'brat', 'coded']"
female,dti,"['body tea', 'coded']"
female,update,"['body tea', 'coded']"
female,humor,"['body tea', 'flop', 'snatched']"
female,facecard,"['body tea', 'face card']"
female,nyc,"['body tea', 'coded']"
female,zoom,"['body tea', 'era']"
female,houston,"['body tea', 'serving']"
female,brat,"['brat', 'flop']"
female,apple,"['brat', 'yap']"
female,raptok,"['brat', 'situationship']"
female,kinktok,"['brat', 'giving']"
female,alt,"['brat', 'giving']"
female,lyrics,"['brat', 'queen', 'delulu']"
female,hottake,"['brat', 'yap']"
female,horror,"['brat', 'pookie']"
female,followers➕,"['coded', 'queening']"
female,halloween2024,"['coded', 'face card', 'giving']"
female,spooky,"['coded', 'queen']"
female,diva,"['coded', 'slay', 'diva']"
female,nostalgia,"['era', 'chronically online']"
female,4u,"['era', 'yap']"
female,loveyou,"['era', 'pookie']"
