category,word,date,views,text,hashtags,link
female,queening,2024-1-9,0.058,what makes a good niche? 🤔 #fyp #fragrancetok #fragrance #jeremyfragrance #tiktok #bondno9 #mindgames #maisonfranciskurkdjian #initioparfums #lelabo #fragrances #foryou  created by knowsnothingabtfragrance with knowsnothingabtfragrance’s original sound,"['fragrancetok', 'fragrance', 'jeremyfragrance', 'tiktok', 'bondno9', 'mindgames', 'maisonfranciskurkdjian', 'initioparfums', 'lelabo', 'fragrances']",https://www.tiktok.com/@knowsnothingabtfragrance/video/7322000735598660907
female,queening,2023-5-13,0.0468,Love it! 🤭😂 #theebiking  created by J 👑 (They/He) with 🐓’s original sound,['theebiking'],https://www.tiktok.com/@a_bi.royal/video/7232814065331227950
female,queening,2024-2-7,0.012,Gifted | What happens when you combine the clean girl aesthetic and vanilla gourmand? Queening by @mindgamesfragrance #queening #mindgamesqueening #fragrance #fragrancereview #CapCut  created by Jesse | Fragrance Reviews with Jesse | Fragrance Reviews’s original sound,"['queening', 'mindgamesqueening', 'fragrance', 'fragrancereview', 'capcut']",https://www.tiktok.com/@jessescentials/video/7332983778798865706
female,queening,2024-2-6,0.437,Replying to @Marie Christine QUEENING FULL DAY WEAR TEST . . #perfumetok #fragrancetok #fragcomm #fraghead #perfume #nichefragrance #nichetok #nicheperfume #mindgamesfragrance #queening #mindgamesqueening #perfumeweartest #weartest #perfumereviews #perfumereview #sillage  created by Christine | frag_analysis with Christine | frag_analysis’s original sound,"['perfumetok', 'fragrancetok', 'fragcomm', 'fraghead', 'perfume', 'nichefragrance', 'nichetok', 'nicheperfume', 'mindgamesfragrance', 'queening', 'mindgamesqueening', 'perfumeweartest', 'weartest', 'perfumereviews', 'perfumereview', 'sillage']",https://www.tiktok.com/@frag_analysis/video/7332642258879040814
female,queening,2024-10-30,0.0031000000000000003,#Meme #MemeCut #fyppppppppppppppppppppppp #fypシ #viralvideo  created by Queening with Notworthit’s original sound,"['meme', 'memecut']",https://www.tiktok.com/@caramel_queen26/video/7431452482783513902
female,queening,2021-8-13,0.0424,What is 👑queening?👑 #nickiminaj #selflove #sexpositive #kinkpositivie #queen #sexpert #women #communication #sexualhealth created by Girlsonprn with Girlsonprn’s original sound,"['nickiminaj', 'selflove', 'sexpositive', 'kinkpositivie', 'queen', 'sexpert', 'women', 'communication', 'sexualhealth']",https://www.tiktok.com/@girlsonprn/video/6995919742385081605
female,queening,2024-10-13,0.8290000000000001,"when I get my king, it’s up from there #fyp #fy #fypシ #relationshipgoals #fyppppppppppppppppppppppp  created by Queening with Code G & Persona’s Stayed Down","['fy', 'relationshipgoals']",https://www.tiktok.com/@caramel_queen26/video/7425117485738822958
female,queening,2024-10-22,2e-05, created by queening5444jahbless with AZ’s I'm Back,[],https://www.tiktok.com/@queening54441/video/7428466404896329006
female,queening,2024-9-3,0.004200000000000001,#CapCut #goals #fyp  created by Queening with Lastra’s Trap Mafia,"['capcut', 'goals']",https://www.tiktok.com/@caramel_queen26/video/7410625331125652782
female,queening,2024-3-2,0.027100000000000003,QUEENING  created by Kelly black cherry 🍒 with Christopher Martin’s I'm A Big Deal,[],https://www.tiktok.com/@kellyblackcherry/video/7341903608985816363
